time,date,value,Route
12:00:00,2019-05-01,00:01:35,Route_4_WharfsideWay
12:15:00,2019-05-01,00:01:47,Route_4_WharfsideWay
12:30:00,2019-05-01,00:01:53,Route_4_WharfsideWay
12:45:00,2019-05-01,00:02:05,Route_4_WharfsideWay
13:00:00,2019-05-01,00:01:16,Route_4_WharfsideWay
13:15:00,2019-05-01,00:01:12,Route_4_WharfsideWay
13:30:00,2019-05-01,00:01:55,Route_4_WharfsideWay
13:45:00,2019-05-01,00:02:12,Route_4_WharfsideWay
14:00:00,2019-05-01,00:01:47,Route_4_WharfsideWay
14:15:00,2019-05-01,00:01:41,Route_4_WharfsideWay
14:30:00,2019-05-01,00:01:37,Route_4_WharfsideWay
14:45:00,2019-05-01,00:02:33,Route_4_WharfsideWay
15:00:00,2019-05-01,00:02:14,Route_4_WharfsideWay
15:15:00,2019-05-01,00:01:30,Route_4_WharfsideWay
15:30:00,2019-05-01,00:01:11,Route_4_WharfsideWay
15:45:00,2019-05-01,00:03:36,Route_4_WharfsideWay
16:00:00,2019-05-01,00:02:19,Route_4_WharfsideWay
16:15:00,2019-05-01,00:02:32,Route_4_WharfsideWay
16:30:00,2019-05-01,00:01:32,Route_4_WharfsideWay
16:45:00,2019-05-01,00:02:09,Route_4_WharfsideWay
17:00:00,2019-05-01,00:02:24,Route_4_WharfsideWay
17:15:00,2019-05-01,00:03:42,Route_4_WharfsideWay
17:30:00,2019-05-01,00:02:36,Route_4_WharfsideWay
17:45:00,2019-05-01,00:02:09,Route_4_WharfsideWay
18:00:00,2019-05-01,00:02:34,Route_4_WharfsideWay
18:15:00,2019-05-01,00:01:35,Route_4_WharfsideWay
18:30:00,2019-05-01,00:02:19,Route_4_WharfsideWay
18:45:00,2019-05-01,00:03:24,Route_4_WharfsideWay
19:00:00,2019-05-01,00:01:48,Route_4_WharfsideWay
19:15:00,2019-05-01,00:00:00,Route_4_WharfsideWay
19:30:00,2019-05-01,00:01:49,Route_4_WharfsideWay
19:45:00,2019-05-01,00:02:02,Route_4_WharfsideWay
20:00:00,2019-05-01,00:01:32,Route_4_WharfsideWay
20:15:00,2019-05-01,00:01:40,Route_4_WharfsideWay
20:30:00,2019-05-01,00:01:50,Route_4_WharfsideWay
20:45:00,2019-05-01,00:00:00,Route_4_WharfsideWay
21:00:00,2019-05-01,00:02:01,Route_4_WharfsideWay
21:15:00,2019-05-01,00:00:00,Route_4_WharfsideWay
21:30:00,2019-05-01,00:01:55,Route_4_WharfsideWay
21:45:00,2019-05-01,00:02:28,Route_4_WharfsideWay
22:00:00,2019-05-01,00:01:39,Route_4_WharfsideWay
22:15:00,2019-05-01,00:00:00,Route_4_WharfsideWay
22:30:00,2019-05-01,00:00:00,Route_4_WharfsideWay
