time,date,value,Route
00:00:00,2019-05-01,00:00:00,Route_3_WharfsideWay
00:15:00,2019-05-01,00:02:54,Route_3_WharfsideWay
00:30:00,2019-05-01,00:00:00,Route_3_WharfsideWay
00:45:00,2019-05-01,00:01:33,Route_3_WharfsideWay
01:00:00,2019-05-01,00:00:00,Route_3_WharfsideWay
01:15:00,2019-05-01,00:00:00,Route_3_WharfsideWay
01:30:00,2019-05-01,00:00:00,Route_3_WharfsideWay
01:45:00,2019-05-01,00:00:00,Route_3_WharfsideWay
02:00:00,2019-05-01,00:00:00,Route_3_WharfsideWay
02:15:00,2019-05-01,00:00:00,Route_3_WharfsideWay
02:30:00,2019-05-01,00:02:11,Route_3_WharfsideWay
02:45:00,2019-05-01,00:00:00,Route_3_WharfsideWay
03:00:00,2019-05-01,00:00:50,Route_3_WharfsideWay
03:15:00,2019-05-01,00:01:53,Route_3_WharfsideWay
03:30:00,2019-05-01,00:00:00,Route_3_WharfsideWay
03:45:00,2019-05-01,00:02:19,Route_3_WharfsideWay
04:00:00,2019-05-01,00:02:38,Route_3_WharfsideWay
04:15:00,2019-05-01,00:00:00,Route_3_WharfsideWay
04:30:00,2019-05-01,00:02:10,Route_3_WharfsideWay
04:45:00,2019-05-01,00:01:38,Route_3_WharfsideWay
05:00:00,2019-05-01,00:00:00,Route_3_WharfsideWay
05:15:00,2019-05-01,00:01:53,Route_3_WharfsideWay
05:30:00,2019-05-01,00:01:52,Route_3_WharfsideWay
05:45:00,2019-05-01,00:12:05,Route_3_WharfsideWay
06:00:00,2019-05-01,00:00:00,Route_3_WharfsideWay
06:15:00,2019-05-01,00:02:49,Route_3_WharfsideWay
06:30:00,2019-05-01,00:03:04,Route_3_WharfsideWay
06:45:00,2019-05-01,00:02:46,Route_3_WharfsideWay
07:00:00,2019-05-01,00:02:41,Route_3_WharfsideWay
07:15:00,2019-05-01,00:02:57,Route_3_WharfsideWay
07:30:00,2019-05-01,00:03:30,Route_3_WharfsideWay
07:45:00,2019-05-01,00:02:42,Route_3_WharfsideWay
08:00:00,2019-05-01,00:02:35,Route_3_WharfsideWay
08:15:00,2019-05-01,00:03:08,Route_3_WharfsideWay
08:30:00,2019-05-01,00:04:06,Route_3_WharfsideWay
08:45:00,2019-05-01,00:02:41,Route_3_WharfsideWay
09:00:00,2019-05-01,00:03:46,Route_3_WharfsideWay
09:15:00,2019-05-01,00:03:26,Route_3_WharfsideWay
09:30:00,2019-05-01,00:03:10,Route_3_WharfsideWay
09:45:00,2019-05-01,00:02:46,Route_3_WharfsideWay
10:00:00,2019-05-01,00:03:05,Route_3_WharfsideWay
10:15:00,2019-05-01,00:02:22,Route_3_WharfsideWay
10:30:00,2019-05-01,00:05:01,Route_3_WharfsideWay
10:45:00,2019-05-01,00:02:04,Route_3_WharfsideWay
