time,date,value,Route
09:00:00,2019-04-05,00:02:32,Route_3_WharfsideWay
09:15:00,2019-04-05,00:02:43,Route_3_WharfsideWay
09:30:00,2019-04-05,00:02:39,Route_3_WharfsideWay
09:45:00,2019-04-05,00:03:00,Route_3_WharfsideWay
10:00:00,2019-04-05,00:03:00,Route_3_WharfsideWay
10:15:00,2019-04-05,00:02:26,Route_3_WharfsideWay
10:30:00,2019-04-05,00:02:31,Route_3_WharfsideWay
10:45:00,2019-04-05,00:02:35,Route_3_WharfsideWay
11:00:00,2019-04-05,00:02:16,Route_3_WharfsideWay
11:15:00,2019-04-05,00:02:31,Route_3_WharfsideWay
11:30:00,2019-04-05,00:02:13,Route_3_WharfsideWay
11:45:00,2019-04-05,00:02:40,Route_3_WharfsideWay
12:00:00,2019-04-05,00:01:55,Route_3_WharfsideWay
12:15:00,2019-04-05,00:02:33,Route_3_WharfsideWay
12:30:00,2019-04-05,00:02:46,Route_3_WharfsideWay
12:45:00,2019-04-05,00:02:24,Route_3_WharfsideWay
