"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV","Class1Volume","Class2Volume","Class3Volume","Class4Volume","Class5Volume","Class6Volume"
2019-04-01 01:00:00,="000000001157",1,"EB_NS",2,"East",1,0,"",24444,0,0,1,0,0,0,0
2019-04-01 01:00:00,="000000001157",2,"EB_OS",2,"East",0,0,"",24444,0,0,0,0,0,0,0
2019-04-01 01:00:00,="000000001157",3,"WB_OS",1,"West",0,0,"",24444,0,0,0,0,0,0,0
2019-04-01 01:00:00,="000000001157",4,"WB_NS",1,"West",0,0,"",24444,0,0,0,0,0,0,0
2019-04-01 01:05:00,="000000001157",1,"EB_NS",2,"East",0,0,"",24444,0,0,0,0,0,0,0
2019-04-01 01:05:00,="000000001157",2,"EB_OS",2,"East",0,0,"",24444,0,0,0,0,0,0,0
2019-04-01 01:05:00,="000000001157",3,"WB_OS",1,"West",0,0,"",24444,0,0,0,0,0,0,0
2019-04-01 01:05:00,="000000001157",4,"WB_NS",1,"West",0,0,"",24444,0,0,0,0,0,0,0
2019-04-01 01:10:00,="000000001157",1,"EB_NS",2,"East",1,0,"",15556,0,0,1,0,0,0,0
2019-04-01 01:10:00,="000000001157",2,"EB_OS",2,"East",0,0,"",15556,0,0,0,0,0,0,0
2019-04-01 01:10:00,="000000001157",3,"WB_OS",1,"West",0,0,"",15556,0,0,0,0,0,0,0
2019-04-01 01:10:00,="000000001157",4,"WB_NS",1,"West",0,0,"",15556,0,0,0,0,0,0,0
2019-04-01 01:15:00,="000000001157",1,"EB_NS",2,"East",1,0,"",16944,1000,0,0,0,1,0,0
2019-04-01 01:15:00,="000000001157",2,"EB_OS",2,"East",0,0,"",16944,0,0,0,0,0,0,0
2019-04-01 01:15:00,="000000001157",3,"WB_OS",1,"West",0,0,"",16944,0,0,0,0,0,0,0
2019-04-01 01:15:00,="000000001157",4,"WB_NS",1,"West",0,0,"",16944,0,0,0,0,0,0,0
2019-04-01 01:20:00,="000000001157",1,"EB_NS",2,"East",3,0,"",17685,0,0,3,0,0,0,0
2019-04-01 01:20:00,="000000001157",2,"EB_OS",2,"East",0,0,"",17685,0,0,0,0,0,0,0
2019-04-01 01:20:00,="000000001157",3,"WB_OS",1,"West",0,0,"",17685,0,0,0,0,0,0,0
2019-04-01 01:20:00,="000000001157",4,"WB_NS",1,"West",0,0,"",17685,0,0,0,0,0,0,0
2019-04-01 01:25:00,="000000001157",1,"EB_NS",2,"East",1,0,"",19722,0,0,1,0,0,0,0
2019-04-01 01:25:00,="000000001157",2,"EB_OS",2,"East",0,0,"",19722,0,0,0,0,0,0,0
2019-04-01 01:25:00,="000000001157",3,"WB_OS",1,"West",0,0,"",19722,0,0,0,0,0,0,0
2019-04-01 01:25:00,="000000001157",4,"WB_NS",1,"West",0,0,"",19722,0,0,0,0,0,0,0
2019-04-01 01:30:00,="000000001157",1,"EB_NS",2,"East",1,0,"",20556,0,0,1,0,0,0,0
2019-04-01 01:30:00,="000000001157",2,"EB_OS",2,"East",0,0,"",20556,0,0,0,0,0,0,0
2019-04-01 01:30:00,="000000001157",3,"WB_OS",1,"West",0,0,"",20556,0,0,0,0,0,0,0
2019-04-01 01:30:00,="000000001157",4,"WB_NS",1,"West",0,0,"",20556,0,0,0,0,0,0,0
2019-04-01 01:35:00,="000000001157",1,"EB_NS",2,"East",1,0,"",18333,0,0,1,0,0,0,0
2019-04-01 01:35:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18333,0,0,0,0,0,0,0
2019-04-01 01:35:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18333,0,0,0,0,0,0,0
2019-04-01 01:35:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18333,0,0,0,0,0,0,0
2019-04-01 01:40:00,="000000001157",1,"EB_NS",2,"East",2,0,"",18334,0,0,2,0,0,0,0
2019-04-01 01:40:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18334,0,0,0,0,0,0,0
2019-04-01 01:40:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18334,0,0,0,0,0,0,0
2019-04-01 01:40:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18334,0,0,0,0,0,0,0
2019-04-01 01:45:00,="000000001157",1,"EB_NS",2,"East",1,0,"",18889,0,0,1,0,0,0,0
2019-04-01 01:45:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18889,0,0,0,0,0,0,0
2019-04-01 01:45:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18889,0,0,0,0,0,0,0
2019-04-01 01:45:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18889,0,0,0,0,0,0,0
2019-04-01 01:50:00,="000000001157",1,"EB_NS",2,"East",0,0,"",18889,0,0,0,0,0,0,0
2019-04-01 01:50:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18889,0,0,0,0,0,0,0
2019-04-01 01:50:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18889,0,0,0,0,0,0,0
2019-04-01 01:50:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18889,0,0,0,0,0,0,0
2019-04-01 01:55:00,="000000001157",1,"EB_NS",2,"East",0,0,"",18889,0,0,0,0,0,0,0
2019-04-01 01:55:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18889,0,0,0,0,0,0,0
2019-04-01 01:55:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18889,0,0,0,0,0,0,0
2019-04-01 01:55:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18889,0,0,0,0,0,0,0
2019-04-01 02:00:00,="000000001157",1,"EB_NS",2,"East",1,0,"",16111,0,0,1,0,0,0,0
2019-04-01 02:00:00,="000000001157",2,"EB_OS",2,"East",0,0,"",16111,0,0,0,0,0,0,0
2019-04-01 02:00:00,="000000001157",3,"WB_OS",1,"West",0,0,"",16111,0,0,0,0,0,0,0
2019-04-01 02:00:00,="000000001157",4,"WB_NS",1,"West",0,0,"",16111,0,0,0,0,0,0,0
2019-04-01 02:05:00,="000000001157",1,"EB_NS",2,"East",3,0,"",18241,0,0,3,0,0,0,0
2019-04-01 02:05:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18241,0,0,0,0,0,0,0
2019-04-01 02:05:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18241,0,0,0,0,0,0,0
2019-04-01 02:05:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18241,0,0,0,0,0,0,0
2019-04-01 02:10:00,="000000001157",1,"EB_NS",2,"East",0,0,"",18241,0,0,0,0,0,0,0
2019-04-01 02:10:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18241,0,0,0,0,0,0,0
2019-04-01 02:10:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18241,0,0,0,0,0,0,0
2019-04-01 02:10:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18241,0,0,0,0,0,0,0
2019-04-01 02:15:00,="000000001157",1,"EB_NS",2,"East",0,0,"",18241,0,0,0,0,0,0,0
2019-04-01 02:15:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18241,0,0,0,0,0,0,0
2019-04-01 02:15:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18241,0,0,0,0,0,0,0
2019-04-01 02:15:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18241,0,0,0,0,0,0,0
2019-04-01 02:20:00,="000000001157",1,"EB_NS",2,"East",1,0,"",15556,0,0,1,0,0,0,0
2019-04-01 02:20:00,="000000001157",2,"EB_OS",2,"East",0,0,"",15556,0,0,0,0,0,0,0
2019-04-01 02:20:00,="000000001157",3,"WB_OS",1,"West",0,0,"",15556,0,0,0,0,0,0,0
2019-04-01 02:20:00,="000000001157",4,"WB_NS",1,"West",0,0,"",15556,0,0,0,0,0,0,0
2019-04-01 02:25:00,="000000001157",1,"EB_NS",2,"East",1,0,"",20000,0,0,1,0,0,0,0
2019-04-01 02:25:00,="000000001157",2,"EB_OS",2,"East",0,0,"",20000,0,0,0,0,0,0,0
2019-04-01 02:25:00,="000000001157",3,"WB_OS",1,"West",0,0,"",20000,0,0,0,0,0,0,0
2019-04-01 02:25:00,="000000001157",4,"WB_NS",1,"West",0,0,"",20000,0,0,0,0,0,0,0
2019-04-01 02:30:00,="000000001157",1,"EB_NS",2,"East",2,0,"",17638,0,0,2,0,0,0,0
2019-04-01 02:30:00,="000000001157",2,"EB_OS",2,"East",0,0,"",17638,0,0,0,0,0,0,0
2019-04-01 02:30:00,="000000001157",3,"WB_OS",1,"West",0,0,"",17638,0,0,0,0,0,0,0
2019-04-01 02:30:00,="000000001157",4,"WB_NS",1,"West",0,0,"",17638,0,0,0,0,0,0,0
2019-04-01 02:35:00,="000000001157",1,"EB_NS",2,"East",1,0,"",18333,1000,0,0,0,1,0,0
2019-04-01 02:35:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18333,0,0,0,0,0,0,0
2019-04-01 02:35:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18333,0,0,0,0,0,0,0
2019-04-01 02:35:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18333,0,0,0,0,0,0,0
2019-04-01 02:40:00,="000000001157",1,"EB_NS",2,"East",0,0,"",18333,0,0,0,0,0,0,0
2019-04-01 02:40:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18333,0,0,0,0,0,0,0
2019-04-01 02:40:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18333,0,0,0,0,0,0,0
2019-04-01 02:40:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18333,0,0,0,0,0,0,0
2019-04-01 02:45:00,="000000001157",1,"EB_NS",2,"East",1,0,"",17778,0,0,1,0,0,0,0
2019-04-01 02:45:00,="000000001157",2,"EB_OS",2,"East",0,0,"",17778,0,0,0,0,0,0,0
2019-04-01 02:45:00,="000000001157",3,"WB_OS",1,"West",0,0,"",17778,0,0,0,0,0,0,0
2019-04-01 02:45:00,="000000001157",4,"WB_NS",1,"West",0,0,"",17778,0,0,0,0,0,0,0
2019-04-01 02:50:00,="000000001157",1,"EB_NS",2,"East",1,0,"",22778,0,0,1,0,0,0,0
2019-04-01 02:50:00,="000000001157",2,"EB_OS",2,"East",0,0,"",22778,0,0,0,0,0,0,0
2019-04-01 02:50:00,="000000001157",3,"WB_OS",1,"West",0,0,"",22778,0,0,0,0,0,0,0
2019-04-01 02:50:00,="000000001157",4,"WB_NS",1,"West",0,0,"",22778,0,0,0,0,0,0,0
2019-04-01 02:55:00,="000000001157",1,"EB_NS",2,"East",0,0,"",22778,0,0,0,0,0,0,0
2019-04-01 02:55:00,="000000001157",2,"EB_OS",2,"East",0,0,"",22778,0,0,0,0,0,0,0
2019-04-01 02:55:00,="000000001157",3,"WB_OS",1,"West",0,0,"",22778,0,0,0,0,0,0,0
2019-04-01 02:55:00,="000000001157",4,"WB_NS",1,"West",0,0,"",22778,0,0,0,0,0,0,0
2019-04-01 03:00:00,="000000001157",1,"EB_NS",2,"East",0,0,"",22778,0,0,0,0,0,0,0
2019-04-01 03:00:00,="000000001157",2,"EB_OS",2,"East",0,0,"",22778,0,0,0,0,0,0,0
2019-04-01 03:00:00,="000000001157",3,"WB_OS",1,"West",0,0,"",22778,0,0,0,0,0,0,0
2019-04-01 03:00:00,="000000001157",4,"WB_NS",1,"West",0,0,"",22778,0,0,0,0,0,0,0
2019-04-01 03:05:00,="000000001157",1,"EB_NS",2,"East",1,0,"",17222,1000,0,0,0,1,0,0
2019-04-01 03:05:00,="000000001157",2,"EB_OS",2,"East",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:05:00,="000000001157",3,"WB_OS",1,"West",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:05:00,="000000001157",4,"WB_NS",1,"West",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:10:00,="000000001157",1,"EB_NS",2,"East",1,0,"",13056,0,0,1,0,0,0,0
2019-04-01 03:10:00,="000000001157",2,"EB_OS",2,"East",0,0,"",13056,0,0,0,0,0,0,0
2019-04-01 03:10:00,="000000001157",3,"WB_OS",1,"West",0,0,"",13056,0,0,0,0,0,0,0
2019-04-01 03:10:00,="000000001157",4,"WB_NS",1,"West",0,0,"",13056,0,0,0,0,0,0,0
2019-04-01 03:15:00,="000000001157",1,"EB_NS",2,"East",2,0,"",17222,500,0,1,0,0,1,0
2019-04-01 03:15:00,="000000001157",2,"EB_OS",2,"East",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:15:00,="000000001157",3,"WB_OS",1,"West",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:15:00,="000000001157",4,"WB_NS",1,"West",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:20:00,="000000001157",1,"EB_NS",2,"East",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:20:00,="000000001157",2,"EB_OS",2,"East",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:20:00,="000000001157",3,"WB_OS",1,"West",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:20:00,="000000001157",4,"WB_NS",1,"West",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:25:00,="000000001157",1,"EB_NS",2,"East",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:25:00,="000000001157",2,"EB_OS",2,"East",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:25:00,="000000001157",3,"WB_OS",1,"West",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:25:00,="000000001157",4,"WB_NS",1,"West",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:30:00,="000000001157",1,"EB_NS",2,"East",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:30:00,="000000001157",2,"EB_OS",2,"East",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:30:00,="000000001157",3,"WB_OS",1,"West",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:30:00,="000000001157",4,"WB_NS",1,"West",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 03:35:00,="000000001157",1,"EB_NS",2,"East",2,0,"",19028,0,0,2,0,0,0,0
2019-04-01 03:35:00,="000000001157",2,"EB_OS",2,"East",0,0,"",19028,0,0,0,0,0,0,0
2019-04-01 03:35:00,="000000001157",3,"WB_OS",1,"West",0,0,"",19028,0,0,0,0,0,0,0
2019-04-01 03:35:00,="000000001157",4,"WB_NS",1,"West",0,0,"",19028,0,0,0,0,0,0,0
2019-04-01 03:40:00,="000000001157",1,"EB_NS",2,"East",0,0,"",19028,0,0,0,0,0,0,0
2019-04-01 03:40:00,="000000001157",2,"EB_OS",2,"East",0,0,"",19028,0,0,0,0,0,0,0
2019-04-01 03:40:00,="000000001157",3,"WB_OS",1,"West",0,0,"",19028,0,0,0,0,0,0,0
2019-04-01 03:40:00,="000000001157",4,"WB_NS",1,"West",0,0,"",19028,0,0,0,0,0,0,0
2019-04-01 03:45:00,="000000001157",1,"EB_NS",2,"East",0,0,"",19028,0,0,0,0,0,0,0
2019-04-01 03:45:00,="000000001157",2,"EB_OS",2,"East",0,0,"",19028,0,0,0,0,0,0,0
2019-04-01 03:45:00,="000000001157",3,"WB_OS",1,"West",0,0,"",19028,0,0,0,0,0,0,0
2019-04-01 03:45:00,="000000001157",4,"WB_NS",1,"West",0,0,"",19028,0,0,0,0,0,0,0
2019-04-01 03:50:00,="000000001157",1,"EB_NS",2,"East",1,0,"",20833,1000,0,0,0,0,1,0
2019-04-01 03:50:00,="000000001157",2,"EB_OS",2,"East",0,0,"",20833,0,0,0,0,0,0,0
2019-04-01 03:50:00,="000000001157",3,"WB_OS",1,"West",0,0,"",20833,0,0,0,0,0,0,0
2019-04-01 03:50:00,="000000001157",4,"WB_NS",1,"West",0,0,"",20833,0,0,0,0,0,0,0
2019-04-01 03:55:00,="000000001157",1,"EB_NS",2,"East",0,0,"",20833,0,0,0,0,0,0,0
2019-04-01 03:55:00,="000000001157",2,"EB_OS",2,"East",0,0,"",20833,0,0,0,0,0,0,0
2019-04-01 03:55:00,="000000001157",3,"WB_OS",1,"West",0,0,"",20833,0,0,0,0,0,0,0
2019-04-01 03:55:00,="000000001157",4,"WB_NS",1,"West",0,0,"",20833,0,0,0,0,0,0,0
2019-04-01 04:00:00,="000000001157",1,"EB_NS",2,"East",0,0,"",20833,0,0,0,0,0,0,0
2019-04-01 04:00:00,="000000001157",2,"EB_OS",2,"East",0,0,"",20833,0,0,0,0,0,0,0
2019-04-01 04:00:00,="000000001157",3,"WB_OS",1,"West",0,0,"",20833,0,0,0,0,0,0,0
2019-04-01 04:00:00,="000000001157",4,"WB_NS",1,"West",0,0,"",20833,0,0,0,0,0,0,0
2019-04-01 04:05:00,="000000001157",1,"EB_NS",2,"East",2,0,"",20138,1000,0,0,0,1,1,0
2019-04-01 04:05:00,="000000001157",2,"EB_OS",2,"East",0,0,"",20138,0,0,0,0,0,0,0
2019-04-01 04:05:00,="000000001157",3,"WB_OS",1,"West",0,0,"",20138,0,0,0,0,0,0,0
2019-04-01 04:05:00,="000000001157",4,"WB_NS",1,"West",0,0,"",20138,0,0,0,0,0,0,0
2019-04-01 04:10:00,="000000001157",1,"EB_NS",2,"East",2,0,"",29722,500,0,1,0,1,0,0
2019-04-01 04:10:00,="000000001157",2,"EB_OS",2,"East",0,0,"",29722,0,0,0,0,0,0,0
2019-04-01 04:10:00,="000000001157",3,"WB_OS",1,"West",0,0,"",29722,0,0,0,0,0,0,0
2019-04-01 04:10:00,="000000001157",4,"WB_NS",1,"West",0,0,"",29722,0,0,0,0,0,0,0
2019-04-01 04:15:00,="000000001157",1,"EB_NS",2,"East",4,0,"",22083,0,0,4,0,0,0,0
2019-04-01 04:15:00,="000000001157",2,"EB_OS",2,"East",0,0,"",22083,0,0,0,0,0,0,0
2019-04-01 04:15:00,="000000001157",3,"WB_OS",1,"West",0,0,"",22083,0,0,0,0,0,0,0
2019-04-01 04:15:00,="000000001157",4,"WB_NS",1,"West",0,0,"",22083,0,0,0,0,0,0,0
2019-04-01 04:20:00,="000000001157",1,"EB_NS",2,"East",1,0,"",13889,0,0,1,0,0,0,0
2019-04-01 04:20:00,="000000001157",2,"EB_OS",2,"East",0,0,"",13889,0,0,0,0,0,0,0
2019-04-01 04:20:00,="000000001157",3,"WB_OS",1,"West",0,0,"",13889,0,0,0,0,0,0,0
2019-04-01 04:20:00,="000000001157",4,"WB_NS",1,"West",0,0,"",13889,0,0,0,0,0,0,0
2019-04-01 04:25:00,="000000001157",1,"EB_NS",2,"East",1,0,"",22222,0,0,1,0,0,0,0
2019-04-01 04:25:00,="000000001157",2,"EB_OS",2,"East",0,0,"",22222,0,0,0,0,0,0,0
2019-04-01 04:25:00,="000000001157",3,"WB_OS",1,"West",0,0,"",22222,0,0,0,0,0,0,0
2019-04-01 04:25:00,="000000001157",4,"WB_NS",1,"West",0,0,"",22222,0,0,0,0,0,0,0
2019-04-01 04:30:00,="000000001157",1,"EB_NS",2,"East",1,0,"",22222,1000,0,0,0,0,1,0
2019-04-01 04:30:00,="000000001157",2,"EB_OS",2,"East",0,0,"",22222,0,0,0,0,0,0,0
2019-04-01 04:30:00,="000000001157",3,"WB_OS",1,"West",0,0,"",22222,0,0,0,0,0,0,0
