"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV","Class1Volume","Class2Volume","Class3Volume","Class4Volume","Class5Volume","Class6Volume"
2019-05-01 00:00:00,="000000001157",1,"EB_NS",2,"East",0,0,"",,0,0,0,0,0,0,0
2019-05-01 00:00:00,="000000001157",2,"EB_OS",2,"East",0,0,"",,0,0,0,0,0,0,0
2019-05-01 00:00:00,="000000001157",3,"WB_OS",1,"West",0,0,"",,0,0,0,0,0,0,0
2019-05-01 00:00:00,="000000001157",4,"WB_NS",1,"West",0,0,"",,0,0,0,0,0,0,0
2019-05-01 00:05:00,="000000001157",1,"EB_NS",2,"East",6,0,"",17592,333,0,4,0,1,1,0
2019-05-01 00:05:00,="000000001157",2,"EB_OS",2,"East",0,0,"",17592,0,0,0,0,0,0,0
2019-05-01 00:05:00,="000000001157",3,"WB_OS",1,"West",0,0,"",17592,0,0,0,0,0,0,0
2019-05-01 00:05:00,="000000001157",4,"WB_NS",1,"West",0,0,"",17592,0,0,0,0,0,0,0
2019-05-01 00:10:00,="000000001157",1,"EB_NS",2,"East",7,0,"",19206,143,0,6,0,1,0,0
2019-05-01 00:10:00,="000000001157",2,"EB_OS",2,"East",0,0,"",19206,0,0,0,0,0,0,0
2019-05-01 00:10:00,="000000001157",3,"WB_OS",1,"West",0,0,"",19206,0,0,0,0,0,0,0
2019-05-01 00:10:00,="000000001157",4,"WB_NS",1,"West",0,0,"",19206,0,0,0,0,0,0,0
2019-05-01 00:15:00,="000000001157",1,"EB_NS",2,"East",4,0,"",18819,0,0,4,0,0,0,0
2019-05-01 00:15:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18819,0,0,0,0,0,0,0
2019-05-01 00:15:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18819,0,0,0,0,0,0,0
2019-05-01 00:15:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18819,0,0,0,0,0,0,0
2019-05-01 00:20:00,="000000001157",1,"EB_NS",2,"East",4,0,"",19306,250,0,3,0,0,1,0
2019-05-01 00:20:00,="000000001157",2,"EB_OS",2,"East",0,0,"",19306,0,0,0,0,0,0,0
2019-05-01 00:20:00,="000000001157",3,"WB_OS",1,"West",0,0,"",19306,0,0,0,0,0,0,0
